keyword,ngram,pattern,start,end,phrase_length
furrow of the old sled trail,6,NPDAAN,34153,34158,6
dozen inches of snow,4,NNPN,34164,34167,4
marks of the last runners in a month,8,NPDANPDN,34170,34177,8
man,1,N,34179,34179,1
silent creek,2,AN,34186,34187,2
man,1,N,34189,34189,1
he,1,N,34193,34193,1
he,1,N,34204,34204,1
nothing,1,N,34206,34206,1
he,1,N,34212,34212,1
lunch at the forks,4,NPDN,34215,34218,4
six o'clock he,3,ANN,34222,34224,3
camp with the boys there,5,NPDNN,34228,34232,5
nobody,1,N,34234,34234,1
there,1,N,34240,34240,1
speech,1,N,34242,34242,1
ice muzzle on his mouth,5,NNPNN,34250,34254,5
he,1,N,34256,34256,1
tobacco,1,N,34261,34261,1
length of his amber,4,NPNN,34266,34269,4
thought,1,N,34276,34276,1
itself,1,N,34278,34278,1
it,1,N,34280,34280,1
he,1,N,34286,34286,1
he,1,N,34293,34293,1
he,1,N,34296,34296,1
his cheek bones,3,NNN,34298,34300,3
back of his,3,NPN,34305,34307,3
hand he,2,NN,34309,34310,2
this,1,N,34312,34312,1
hands,1,N,34318,34318,1
rub,1,N,34320,34320,1
he,1,N,34322,34322,1
instant he,2,NN,34325,34326,2
his cheek bones,3,NNN,34328,34330,3
end of his nose,4,NPNN,34338,34341,4
numb he,2,AN,34343,34344,2
his cheeks he,3,NNN,34349,34351,3
pang of regret,3,NPN,34357,34359,3
he,1,N,34361,34361,1
nose strap of the sort bud wore,7,NNPDNNN,34366,34372,7
sort bud wore in cold snaps,6,NNNPAN,34370,34375,6
strap,1,N,34378,34378,1
cheeks,1,N,34382,34382,1
them,1,N,34387,34387,1
it,1,N,34389,34389,1
what,1,N,34396,34396,1
cheeks,1,N,34399,34399,1
bit painful that,3,NAN,34401,34403,3
they,1,N,34406,34406,1
man,1,N,34413,34413,1
mind,1,N,34415,34415,1
thoughts he,2,NN,34418,34419,2
he,1,N,34424,34424,1
changes in the creek,4,NPDN,34427,34430,4
curves,1,N,34432,34432,1
bends,1,N,34434,34434,1
timber jams,2,NN,34436,34437,2
he,1,N,34440,34440,1
he,1,N,34444,34444,1
his feet,2,NN,34446,34447,2
bend he,2,NN,34452,34453,2
horse,1,N,34459,34459,1
place,1,N,34464,34464,1
he,1,N,34466,34466,1
several paces,2,AN,34472,34473,2
trail,1,N,34477,34477,1
creek he,2,NN,34479,34480,2
bottom,1,N,34487,34487,1
creek,1,N,34490,34490,1
water in that arctic winter,5,NPDAN,34493,34497,5
he,1,N,34500,34500,1
there,1,N,34504,34504,1
springs that,2,NN,34506,34507,2
hillsides,1,N,34512,34512,1
snow,1,N,34518,34518,1
top,1,N,34521,34521,1
ice of the creek he,5,NPDNN,34523,34527,5
coldest snaps,2,AN,34531,34532,2
springs,1,N,34536,34536,1
he,1,N,34538,34538,1
their danger they,3,NNN,34541,34543,3
traps they,2,NN,34545,34546,2
pools of water under the snow that,7,NPNPDNN,34548,34554,7
three inches,2,AN,34557,34558,2
three feet,2,AN,34561,34562,2
skin of ice,3,NPN,34565,34567,3
inch,1,N,34570,34570,1
them,1,N,34573,34573,1
turn,1,N,34576,34576,1
snow,1,N,34581,34581,1
there,1,N,34583,34583,1
alternate layers of water,4,ANPN,34585,34588,4
ice skin,2,NN,34590,34591,2
he,1,N,34598,34598,1
breaking,1,N,34601,34601,1
himself to the waist that,5,NPDNN,34608,34612,5
he,1,N,34615,34615,1
such panic he,3,ANN,34619,34621,3
give under his feet,4,NPNN,34625,34628,4
crackle of a snow,4,NPDN,34632,34635,4
ice skin,2,NN,34637,34638,2
his feet,2,NN,34642,34643,2
temperature,1,N,34648,34648,1
trouble,1,N,34650,34650,1
danger,1,N,34652,34652,1
it,1,N,34657,34657,1
delay,1,N,34659,34659,1
he,1,N,34661,34661,1
fire,1,N,34670,34670,1
its protection,2,NN,34673,34674,2
his feet,2,NN,34677,34678,2
he,1,N,34680,34680,1
his socks,2,NN,34682,34683,2
moccasins he,2,NN,34685,34686,2
creek bed,2,NN,34691,34692,2
its banks,2,NN,34694,34695,2
flow of water,3,NPN,34700,34702,3
right he,2,NN,34706,34707,2
his nose,2,NN,34711,34712,2
cheeks,1,N,34714,34714,1
left,1,N,34719,34719,1
footing for each step,4,NPDN,34725,34728,4
danger he,2,NN,34733,34734,2
fresh chew of tobacco,4,ANPN,34737,34740,4
his four mile gait in the course,7,NANNPDN,34745,34751,7
course of the next two hours he,7,NPDAANN,34751,34757,7
several similar traps,3,AAN,34760,34762,3
snow above the hidden pools,5,NPDAN,34765,34769,5
appearance that,2,NN,34774,34775,2
danger,1,N,34778,34778,1
he,1,N,34782,34782,1
close call,2,AN,34785,34786,2
danger he,2,NN,34790,34791,2
dog,1,N,34794,34794,1
front,1,N,34799,34799,1
dog,1,N,34801,34801,1
it,1,N,34807,34807,1
man,1,N,34812,34812,1
it,1,N,34814,34814,1
it,1,N,34818,34818,1
white unbroken surface,3,AAN,34823,34825,3
it,1,N,34827,34827,1
one side,2,AN,34832,34833,2
firmer footing it,3,ANN,34838,34840,3
wet its forefeet,3,ANN,34842,34844,3
legs,1,N,34846,34846,1
water that,2,NN,34851,34852,2
it,1,N,34855,34855,1
it,1,N,34859,34859,1
quick efforts,2,AN,34861,34862,2
ice off its legs,4,NPNN,34866,34869,4
snow,1,N,34875,34875,1
ice that,2,NN,34882,34883,2
toes this,2,NN,34888,34889,2
matter,1,N,34892,34892,1
ice,1,N,34898,34898,1
feet it,2,NN,34904,34905,2
this it,2,NN,34909,34910,2
mysterious prompting that,3,ANN,34914,34916,3
deep crypts of its being,5,ANPNN,34920,34924,5
man,1,N,34927,34927,1
judgment on the subject,4,NPDN,34932,34935,4
he,1,N,34937,34937,1
mitten from his right hand,5,NPNAN,34940,34944,5
ice particles he,3,NNN,34950,34952,3
his fingers,2,NN,34956,34957,2
minute,1,N,34961,34961,1
swift numbness that,3,NNN,34967,34969,3
them it,2,NN,34971,34972,2
cold he,2,AN,34975,34976,2
mitten,1,N,34980,34980,1
hand,1,N,34985,34985,1
his chest at twelve o'clock,5,NNPAN,34988,34992,5
day,1,N,34994,34994,1
its,1,N,34997,34997,1
sun,1,N,35001,35001,1
its winter journey,3,NNN,35007,35009,3
horizon,1,N,35013,35013,1
bulge of the earth,4,NPDN,35015,35018,4
it,1,N,35021,35021,1
henderson creek,2,NN,35023,35024,2
man,1,N,35027,35027,1
clear sky at noon,4,ANPN,35031,35034,4
shadow at half,3,NPN,35038,35040,3
minute he,2,NN,35045,35046,2
forks of the creek he,5,NPDNN,35050,35054,5
speed he,2,NN,35059,35060,2
