keyword,ngram,pattern,start,end,phrase_length
them by the handful in this way he,8,NPDNPDNN,37110,37117,8
many rotten twigs,3,AAN,37119,37121,3
bits of green moss that,5,NPANN,37123,37127,5
it,1,N,37131,37131,1
best he,2,AN,37134,37135,2
he,1,N,37138,37138,1
armful of the larger branches,5,NPDAN,37144,37148,5
fire,1,N,37155,37155,1
strength,1,N,37157,37157,1
dog,1,N,37163,37163,1
him,1,N,37167,37167,1
certain yearning wistfulness in its eyes for it,8,ANNPNNPN,37169,37176,8
him as the fire provider,5,NPDNN,37179,37183,5
fire,1,N,37186,37186,1
man,1,N,37196,37196,1
his pocket for a second piece of birch,8,NNPDANPN,37199,37206,8
pocket for a second piece of birch bark,8,NPDANPNN,37200,37207,8
